FeedRates.csv﻿"DateTime","Aggregate Feed Rates: Security Information Processors"
"2019-03-01 11:25:00",2424883
"2019-03-01 11:26:00",2062367
"2019-03-01 11:27:00",2341026
"2019-03-01 11:28:00",3878254
"2019-03-01 11:29:00",3043126
"2019-03-01 11:30:00",3122226
"2019-03-01 11:31:00",4824909
"2019-03-01 11:32:00",2134149
"2019-03-01 11:33:00",3088380
"2019-03-01 11:34:00",4451421
"2019-03-01 11:35:00",2939679
"2019-03-01 11:36:00",2457206
"2019-03-01 11:37:00",3593166
"2019-03-01 11:38:00",3537042
"2019-03-01 11:39:00",4166607
"2019-03-01 11:40:00",5206758
"2019-03-01 11:41:00",2373123
"2019-03-01 11:42:00",4287877
"2019-03-01 11:43:00",1978155
"2019-03-01 11:44:00",2392330
"2019-03-01 11:45:00",2832279
"2019-03-01 11:46:00",4062782
"2019-03-01 11:47:00",7058507
"2019-03-01 11:48:00",5427440
"2019-03-01 11:49:00",4387787
"2019-03-01 11:50:00",3692377
"2019-03-01 11:51:00",3310530
"2019-03-01 11:52:00",2822459
"2019-03-01 11:53:00",4006386
"2019-03-01 11:54:00",2332847
"2019-03-01 11:55:00",4913080
"2019-03-01 11:56:00",2327835
"2019-03-01 11:57:00",3447272
"2019-03-01 11:58:00",2508981
"2019-03-01 11:59:00",4751401
"2019-03-01 12:00:00",2250548
"2019-03-01 12:01:00",2664257
"2019-03-01 12:02:00",3707492
"2019-03-01 12:03:00",2287207
"2019-03-01 12:04:00",2993466
"2019-03-01 12:05:00",2201811
"2019-03-01 12:06:00",2814897
"2019-03-01 12:07:00",1654614
"2019-03-01 12:08:00",3414913
"2019-03-01 12:09:00",2602341
"2019-03-01 12:10:00",1794220
"2019-03-01 12:11:00",1866998
"2019-03-01 12:12:00",2318580
"2019-03-01 12:13:00",2661079
"2019-03-01 12:14:00",5530877
"2019-03-01 12:15:00",1616959
"2019-03-01 12:16:00",2763828
"2019-03-01 12:17:00",1719374
"2019-03-01 12:18:00",2798729
"2019-03-01 12:19:00",1391275
"2019-03-01 12:20:00",2861429
"2019-03-01 12:21:00",2529744
"2019-03-01 12:22:00",1583941
"2019-03-01 12:23:00",1448806
"2019-03-01 12:24:00",3765238
"2019-03-01 12:25:00",1474913
"2019-03-01 12:26:00",5343987
"2019-03-01 12:27:00",4407052
"2019-03-01 12:28:00",1980052
"2019-03-01 12:29:00",3827257
"2019-03-01 12:30:00",2736735
"2019-03-01 12:31:00",2481916
"2019-03-01 12:32:00",3616740
"2019-03-01 12:33:00",1848153
"2019-03-01 12:34:00",2129626
"2019-03-01 12:35:00",1716580
"2019-03-01 12:36:00",1370519
"2019-03-01 12:37:00",2515702
"2019-03-01 12:38:00",2142355
"2019-03-01 12:39:00",1418925
"2019-03-01 12:40:00",1768689
"2019-03-01 12:41:00",2038520
"2019-03-01 12:42:00",2188439
"2019-03-01 12:43:00",1710992
"2019-03-01 12:44:00",1930037
"2019-03-01 12:45:00",4269059
"2019-03-01 12:46:00",1191828
"2019-03-01 12:47:00",2345011
"2019-03-01 12:48:00",1527314
"2019-03-01 12:49:00",4797038
"2019-03-01 12:50:00",8068662
"2019-03-01 12:51:00",2297177
"2019-03-01 12:52:00",2054977
"2019-03-01 12:53:00",2196200
"2019-03-01 12:54:00",2426384
"2019-03-01 12:55:00",2175730
"2019-03-01 12:56:00",2801383
"2019-03-01 12:57:00",1081218
"2019-03-01 12:58:00",1446173
"2019-03-01 12:59:00",1731668
"2019-03-01 13:00:00",2898130
"2019-03-01 13:01:00",2381418
"2019-03-01 13:02:00",1975551
"2019-03-01 13:03:00",1524922
"2019-03-01 13:04:00",1972595
"2019-03-01 13:05:00",1316998
"2019-03-01 13:06:00",1736074
"2019-03-01 13:07:00",1992054
"2019-03-01 13:08:00",5245060
"2019-03-01 13:09:00",1164198
"2019-03-01 13:10:00",3871152
"2019-03-01 13:11:00",2294153
"2019-03-01 13:12:00",1316885
"2019-03-01 13:13:00",2965356
"2019-03-01 13:14:00",3464036
"2019-03-01 13:15:00",1539463
"2019-03-01 13:16:00",1461014
"2019-03-01 13:17:00",2001671
"2019-03-01 13:18:00",2171044
"2019-03-01 13:19:00",1336973
"2019-03-01 13:20:00",1563824
"2019-03-01 13:21:00",1669864
"2019-03-01 13:22:00",1273466
"2019-03-01 13:23:00",1369259
"2019-03-01 13:24:00",1380983
"2019-03-01 13:25:00",1265138
"2019-03-01 13:26:00",1189999
"2019-03-01 13:27:00",2347578
"2019-03-01 13:28:00",1837649
"2019-03-01 13:29:00",1452619
"2019-03-01 13:30:00",1504101
"2019-03-01 13:31:00",1619786
"2019-03-01 13:32:00",1597002
"2019-03-01 13:33:00",1371795
"2019-03-01 13:34:00",3085126
"2019-03-01 13:35:00",1609884
"2019-03-01 13:36:00",1919588
"2019-03-01 13:37:00",1808789
"2019-03-01 13:38:00",1658164
"2019-03-01 13:39:00",1970668
"2019-03-01 13:40:00",2466137
"2019-03-01 13:41:00",1985978
"2019-03-01 13:42:00",1649773
"2019-03-01 13:43:00",1793840
"2019-03-01 13:44:00",2009755
"2019-03-01 13:45:00",2148369
"2019-03-01 13:46:00",2260901
"2019-03-01 13:47:00",2235099
"2019-03-01 13:48:00",1523897
"2019-03-01 13:49:00",1475678
"2019-03-01 13:50:00",1661346
"2019-03-01 13:51:00",3119055
"2019-03-01 13:52:00",1688474
"2019-03-01 13:53:00",2363848
"2019-03-01 13:54:00",1260894
"2019-03-01 13:55:00",1604016
"2019-03-01 13:56:00",1204987
"2019-03-01 13:57:00",1339816
"2019-03-01 13:58:00",2172841
"2019-03-01 13:59:00",1292104
"2019-03-01 14:00:00",1218775
"2019-03-01 14:01:00",2306487
"2019-03-01 14:02:00",1830419
"2019-03-01 14:03:00",4847927
"2019-03-01 14:04:00",1616452
"2019-03-01 14:05:00",1804358
"2019-03-01 14:06:00",1688557
"2019-03-01 14:07:00",1193186
"2019-03-01 14:08:00",1322281
"2019-03-01 14:09:00",1265062
"2019-03-01 14:10:00",2488887
"2019-03-01 14:11:00",8055816
"2019-03-01 14:12:00",2241941
"2019-03-01 14:13:00",1716803
"2019-03-01 14:14:00",2179945
"2019-03-01 14:15:00",1877144
"2019-03-01 14:16:00",1934401
"2019-03-01 14:17:00",2330148
"2019-03-01 14:18:00",1849491
"2019-03-01 14:19:00",7402355
"2019-03-01 14:20:00",2214004
"2019-03-01 14:21:00",2227702
"2019-03-01 14:22:00",3528045
"2019-03-01 14:23:00",4859272
"2019-03-01 14:24:00",2500846
"2019-03-01 14:25:00",8683560
"2019-03-01 14:26:00",2572203
"2019-03-01 14:27:00",2353374
"2019-03-01 14:28:00",3215794
"2019-03-01 14:29:00",2347322
"2019-03-01 14:30:00",2727323
"2019-03-01 14:31:00",2265965
"2019-03-01 14:32:00",1609136
"2019-03-01 14:33:00",1892951
"2019-03-01 14:34:00",3486772
"2019-03-01 14:35:00",2080483
"2019-03-01 14:36:00",5070470
"2019-03-01 14:37:00",2054224
"2019-03-01 14:38:00",2306682
"2019-03-01 14:39:00",1806922
"2019-03-01 14:40:00",3664718
"2019-03-01 14:41:00",2148047
"2019-03-01 14:42:00",956262
"2019-03-01 14:43:00",2140140
"2019-03-01 14:44:00",4487116
"2019-03-01 14:45:00",2285061
"2019-03-01 14:46:00",2761632
"2019-03-01 14:47:00",3709102
"2019-03-01 14:48:00",1548679
"2019-03-01 14:49:00",1854395
"2019-03-01 14:50:00",1749477
"2019-03-01 14:51:00",2309680
"2019-03-01 14:52:00",2811850
"2019-03-01 14:53:00",2284732
"2019-03-01 14:54:00",1495603
"2019-03-01 14:55:00",2588204
"2019-03-01 14:56:00",1844579
"2019-03-01 14:57:00",2584113
"2019-03-01 14:58:00",1832441
"2019-03-01 14:59:00",2552010
"2019-03-01 15:00:00",3252418
"2019-03-01 15:01:00",2558975
"2019-03-01 15:02:00",2153978
"2019-03-01 15:03:00",2923916
"2019-03-01 15:04:00",3628751
"2019-03-01 15:05:00",1950923
"2019-03-01 15:06:00",3110101
"2019-03-01 15:07:00",4306371
"2019-03-01 15:08:00",1674148
"2019-03-01 15:09:00",2360699
"2019-03-01 15:10:00",3428325
"2019-03-01 15:11:00",3121779
"2019-03-01 15:12:00",2235533
"2019-03-01 15:13:00",2164907
"2019-03-01 15:14:00",2406866
"2019-03-01 15:15:00",1777212
"2019-03-01 15:16:00",2816230
"2019-03-01 15:17:00",2905585
"2019-03-01 15:18:00",3515251
"2019-03-01 15:19:00",2016507
"2019-03-01 15:20:00",2175517
"2019-03-01 15:21:00",1876563
"2019-03-01 15:22:00",1414871
"2019-03-01 15:23:00",1268057
"2019-03-01 15:24:00",3058429
"2019-03-01 15:25:00",3542765
"2019-03-01 15:26:00",2410276
"2019-03-01 15:27:00",1851723
"2019-03-01 15:28:00",3279035
"2019-03-01 15:29:00",2657208
"2019-03-01 15:30:00",3803210
"2019-03-01 15:31:00",3970136
"2019-03-01 15:32:00",2214933
"2019-03-01 15:33:00",2310670
"2019-03-01 15:34:00",2867790
"2019-03-01 15:35:00",2745958
"2019-03-01 15:36:00",2198666
"2019-03-01 15:37:00",4147129
"2019-03-01 15:38:00",3003297
"2019-03-01 15:39:00",1825531
"2019-03-01 15:40:00",2338358
"2019-03-01 15:41:00",2470049
"2019-03-01 15:42:00",2376270
"2019-03-01 15:43:00",3158333
"2019-03-01 15:44:00",2349288
"2019-03-01 15:45:00",6943774
"2019-03-01 15:46:00",5076358
"2019-03-01 15:47:00",2084100
"2019-03-01 15:48:00",6004815
"2019-03-01 15:49:00",3688220
"2019-03-01 15:50:00",3761484
"2019-03-01 15:51:00",2826332
"2019-03-01 15:52:00",2404488
"2019-03-01 15:53:00",2027783
"2019-03-01 15:54:00",2630603
"2019-03-01 15:55:00",12504994
"2019-03-01 15:56:00",7469589
"2019-03-01 15:57:00",3643271
"2019-03-01 15:58:00",3283358
"2019-03-01 15:59:00",4044694
"2019-03-01 16:00:00",6335386
"2019-03-01 16:01:00",1039722
"2019-03-01 16:02:00",445648
"2019-03-01 16:03:00",355575
"2019-03-01 16:04:00",273016
"2019-03-01 16:05:00",505521
